Name,SMILES,Affinity
brd_enamine7440,O(c1ccc(cc1)c1nnco1)c1nc(nc2ccccc12)c1ccncc1,-9.726
hll_enamine285064,CC(NC(=O)C1CC(=O)Nc2cc(F)ccc12)C(=O)N1C(C)Cc2ccccc12,-9.726
brd4_chemdiv344,n12c(nnc2C)c2c(c(n1)c1cc(S(=O)(=O)N(CC)CC)c(cc1)C)cccc2,-9.724
hll_enamine49801,Cc1cc(NC(=O)C2CCC3(CC2)NC(=O)NC3=O)nn1c1cc(C)cc(C)c1,-9.722
hll_enamine277446,Nc1ccc2c(ncnc2n1)N1CCCC1c1ccc2OCCOc2c1,-9.721
hll_enamine170171,Cc1cc(C(=O)NC2(Cc3ccccc3C2)C(=O)O)c2ccc(F)cc2n1,-9.72
hll_enamine3385,Cc1ccc(OCc2ccc(o2)C(=O)N2CCC(=O)Nc3ccccc23)c(C)c1,-9.719
hll_enamine381641,COc1ccc(C(=O)N2CCCC(C2)C(=O)N2CC[C@H](N)C2)c2ccccc12,-9.718
hll_enamine140743,Cc1nnc(o1)c1cccc(c1)C(=O)N1CC2(CC2)c2ccccc12,-9.716
hll_enamine450180,NS(=O)(=O)c1cccc(NC(=O)c2nn(c3ccccc3)c(=O)c3ccccc23)c1,-9.715
brd_enamine13661,Cc1ccc(cc1C)c1nnc(n2cnc3ccccc23)c2ccccc12,-9.711
brd_enamine6737,Cc1cc(c2ccc3OCCNC(=O)c3c2)c2cccnc2n1,-9.707
CHEMBL3650970,Cc1nn(-c2ccnn2C)c2c1[C@@H](c1ccc(Cl)cc1)N(c1cc(C)c3nnc(C)n3c1)C2=O,-9.707
hll_enamine302768,O=C(N1CCCc2ccccc12)c1ccc(Cn2nnc3ccccc23)cc1,-9.701
CHEMBL3650962,Cc1cc(N2C(=O)c3c(c(C4CC4)nn3-c3ccnn3C)C2c2ccc(Cl)cc2)cn2c(C)nnc12,-9.699
hll_enamine358537,Cc1ccc(cc1)c1nonc1NC(=O)Cc1cccc2ccccc12,-9.695
