Name,SMILES,Affinity
ab_enamine14111,NS(=O)(=O)c1ccc(NC(=O)COC(=O)c2ccc3SCC(=O)Nc3c2)cc1,-8.436
ab_enamine12881,CNS(=O)(=O)c1cc(NC(=O)c2ccc3N(CCc3c2)S(=O)(=O)C)ccc1F,-8.435
ab_enamine25329,CC(N1CCN(CC1)c1c([N+](=O)[O-])c(C)nn1C)c1nc2ccccc2s1,-8.435
ab_enamine24806,COc1cc(C=C(Cc2ccccc2)c2nccc(=O)[nH]2)cc([N+](=O)[O-])c1O,-8.433
ab_enamine8617,Cc1cc(=O)[nH]c(n1)N1CCC(C1)Nc1ncc([N+](=O)[O-])c(N)n1,-8.433
ab_enamine22032,Cc1nn2c(C)cc(C)nc2c1C(=O)Nc1ccc(F)c(c1)[N+](=O)[O-],-8.432
ab_enamine10949,Cc1cc(N2CCN(CC2)S(=O)(=O)c2ccc(cc2)S(=O)(=O)N)c2ccccc2n1,-8.424
ab_enamine13736,CC(C)c1cc(NS(=O)(=O)c2cccc3nonc23)on1,-8.422
ab_enamine14122,NS(=O)(=O)Cc1ccc(NC(=O)c2cc3ccccc3c(=O)[nH]2)cc1,-8.42
ab_enamine26341,O=C1CCN1c1cccc(c1)c1noc(n1)c1ccnc(n1)N1CCCCC1,-8.417
ab_enamine17143,CS(=O)(=O)Nc1ccc(cc1)C(=O)N1CCC(CC1)C(=O)c1ccc2OCCOc2c1,-8.417
ab_enamine14361,O=C(CNS(=O)(=O)c1ccc2CCCCc2c1)NCc1nnc2ccccn12,-8.416
ab_enamine9629,COc1cc(NS(=O)(=O)c2cccc3nonc23)ccc1N1CCCC1=O,-8.415
ab_enamine27263,CCc1ccc(cc1[N+](=O)[O-])C(=O)N1CCC(CC1)n1ccc(n1)C(F)(F)F,-8.412
ab_enamine14511,CC(=O)N1CCC(CC1)NC(=O)c1ccc(cc1)S(=O)(=O)Nc1ccc(F)cc1,-8.408
ab_enamine18861,[O-][N+](=O)c1cnc2CCC(Cc2c1)NC(=O)CCn1c(=O)oc2ccccc12,-8.406
ab_enamine26775,Cc1ccc(NC(=O)COC(=O)c2cccc(c2)[N+](=O)[O-])cc1F,-8.405
ab_enamine22442,[O-][N+](=O)c1ccc2oc(=O)c(cc2c1)C(=O)N1CCN(Cc2ccccc2)CC1,-8.404
ab_enamine26857,Cn1c(SCc2ccc(cc2)[N+](=O)[O-])nnc1C1COc2ccccc2O1,-8.401
ab_enamine4320,OC(=O)c1cccc(c1)S(=O)(=O)Nc1cc(c2nnc3CCCCCn23)c(F)cc1F,-8.397
ab_enamine13909,Fc1ccc(cc1F)S(=O)(=O)NCCC(=O)Nc1nnc2ccccn12,-8.392
ab_enamine20809,Oc1ncc(cc1[N+](=O)[O-])C(=O)NCC1C2Cc3ccccc3C12,-8.386
ab_enamine19096,[O-][N+](=O)c1cc2OCCOc2cc1NC(=O)CCn1cnc2ccccc2c1=O,-8.382
ab_enamine22745,NC(=O)Nc1cccc2N(CCCc12)C(=O)CCNc1ccccc1[N+](=O)[O-],-8.381
ab_enamine26046,COc1ccccc1n1nnnc1SCC(=O)Nc1cc(ccc1C)[N+](=O)[O-],-8.381
ab_enamine3138,OC(=O)c1cc(ccc1F)S(=O)(=O)Nc1ccccc1C(=O)Nc1ccc2OCOc2c1,-8.379
ab_enamine27775,Cc1ccc(cc1C)C1C(Oc2ccccc2)C(=O)N1C1CCN(CC1)C(=O)c1ccco1,-8.379
ab_enamine40,[O-][N+](=O)c1ccccc1S(=O)(=O)N1CCC2C(C1)NC(=O)N2C1CCNCC1,-8.379
ab_enamine17155,O=c1[nH]c2ccc(cc2[nH]c1=O)S(=O)(=O)NC1CCOc2ccccc12,-8.375
ab_enamine13268,CC(NCC1COc2ccccc2O1)C(=O)Nc1ccc(cc1)S(=O)(=O)N,-8.375
